Lol just got a new hairstyle its short and curly :3 VERY PUNK,3,,
Heard on radio this morning that the overweight issue in the U . S . is a result of not digesting GM crops . Seriously ?  96ozcoke ? ? ?,1,,
Shocking ! ! HYPERLINK,4,,
"Garrett finally smiled , for the first time in a long while . ""Who's having the psychotic episode , now ? ""  amwriting  scifi",2,,
God I love rush hour on the CTA  peoplesuck,1,,
"Sixers acquire Anthony , futre 2nd rnd pick from Rockets . Wait for '30 draft when PHI have 15 1st & amp;10 2nd rnd picks .  TrustTheProcess",4,,
Ummm because cars are the way of the future . You can fit more people in a car than a train carriage . Derr . HYPERLINK,1,,
NAME how dare you stand up for the privacy of your customers !  IStandWithApple,1,,
NAME NAME i know u been a 🐶 this is what happens wen  NationalDrinkWineDay turns into lets finish all the wine day😆😄,1,,
NAME nice header photo  D-RoseSucks  Savage 🔥🔥🔥,2,,
NAME think it's enough for little richy pitino to keep his job ?,1,,
My is so advanced that people take me seriously . Then they run . away .,3,,
Don't forget to lubricate your 'opinions'  opinions  advice  humor  literally  f… HYPERLINK HYPERLINK,4,,
Doug is so helpful  TheFamily,1,,
"NAME well done not delaying school . I mean , no one suggested this storm would be this bad .",1,,
"I'm so happy NAME is back on twitter . All he's doing is giving his friend , NAME , stuff to talk about  stoked",1,,
NAME do you think he will be forgiven just as he was by his wife when he was womanizing ?,4,,
Great day at work,1,,
WrestleMania Hooray for traiding finishers !,2,,
"But again anything can happen in a police call centre & amp; since they never opened it , we will never know ! HYPERLINK",1,,
NAME & gt; Will it not be nice if this clown becomes the US president ? We will have  WW3 soon . . . . . How exciting :-),2,,
It's never the white man's problem . . its always somebody elses problem . .  WhyILovebeingwhite,2,,
The shark tooth ? NAME I think they're for sale at any coastal destination HYPERLINK,1,,
I love being at the wrong beach . . . Vero . . . Jensen Beach,3,,
"NAME he would make ONLY $14 million ? Good lord , help him land a contract !",1,,
The voice of reason here . . .  DumpTrump  RubioRising  Marcomentum HYPERLINK,4,,
"Make the member like they a smart detectives , and its just scripted show , so lame . i know why they get low rating",2,,
My dm is broke like my phone . . . . . . . . . 😂😂,3,,
NAME I get the feeling that nobody will ever be using these . Riiiiight ? HYPERLINK,4,,
Does anybody have a copy of the  CodeBook for  Racism that  Hillary keeps talking about ? I must have lost mine ! (),2,,
NAME NAME hmm who to trust ? The guy who teaches law for a living or some keyboard warrior on Twitter ? tough choice,2,,
NAME NAME Yah ! Why would a corp purposefully prevent themselves from selling their highly sought after product ?,1,,
are Abraham and Eugene ever gonna settle this romantic tension between them  TWDFinale  TheWalkingDead,1,,
"Yes , and this is the only reason Roma lost to Madrid . HYPERLINK",1,,
"A lover of all things crazy & amp; cool , happily divorced , sarcastic as fuck .  foundawinner  ThingsPeopleSayOnTinder  datingprofiles",2,,
Recording 'Holly Would Go To Hollywood' . Fredricks in the Attic  punk  rock… HYPERLINK,4,,
But there's stars on this jersey & amp; we wouldn't want to give the impression that  USMNT has earned those . HYPERLINK,4,,
"Sarcasm and shenanignas , it's what brings us mommies together .  YoursInSisterhood  shenanigan  lifelong HYPERLINK",4,,
anxiety is sooooo fun  saidnooneever,3,,
"NAME Yes , this is exactly why we have federal law enforcement agencies HYPERLINK",1,,
NAME Oh lucky you ! ! lol Where are you going ?,1,,
This is me . This is who I am . 🤓😐😒🙄🤔😕😏  awkward  moody  focused  sensitive  dope  af HYPERLINK,3,,
NAME nice to see you did a piece on NAME doing 24 hour walk for heart stroke at Movati Waterloo,1,,
I just saw the promo and we are in for some grade A CGI work .  OnceUponATime  OUAT  Once,2,,
mufc fans are not happy about a vital away goal ? :)  UEFAChampionsLeague  bbcfootball,2,,
NAME Thank you NAME for getting 'Under The Boardwalk' stuck in my head . Last few days have been fun ! :P x,1,,
NAME  BULLS Only team that hasn't made a trade in 2 years if they don't make a move . Shocker HYPERLINK,1,,
"NAME I need a button . Some people just take things too seriously . But still , imagine it ""I'd like to vote Labour"" ""No",2,,
"NAME If anyone who knows what's best for America , surely it's Gov . Nimrata Nikki Randhawa (NAME who was born in India . …",2,,
"oh ,  Putin would never do such a thing . how dare accusing him . Soros supported masons did it HYPERLINK",1,,
